file,lineno,lhs,rhs_sig,rhs_shape,rhs_vars,line
.\tools\portings\patches\debug_logo_pdf.py.insert.py,77,temp_output,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_output = tmp_file.name
.\notwendig oder nicht\wichtig\portings\patches\test_final_pdf_logos.py.insert.py,70,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\notwendig oder nicht\wichtig\portings\patches\test_pdf_logos.py.insert.py,77,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\tests\test_final_pdf_logos.py,72,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\tests\test_pdf_logos.py,79,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\tools\portings\patches\test_final_pdf_logos.py.insert.py,70,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\tools\portings\patches\test_pdf_logos.py.insert.py,77,temp_pdf_path,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_pdf_path = tmp_file.name
.\admin_panel.py,775,model,"('BoolOp', 'Or', (('Call', ('Attr', 'p', 'get'), (('Const', ""'model_name'""),), ()), ('Const', ""''"")))","('BoolOp', 'Or', 2)",p,model = p.get('model_name') or ''
.\tools\import_module_attributes_generic.py,199,name,"('BoolOp', 'Or', (('Call', ('Attr', 'p', 'get'), (('Const', ""'model_name'""),), ()), ('Const', ""''"")))","('BoolOp', 'Or', 2)",p,"name = p.get(""model_name"") or """""
.\doc_output.py,151,warn_list,"('BoolOp', 'Or', (('Call', ('Attr', 'validation_result', 'get'), (('Const', ""'warnings'""), ('List', ())), ()), ('List', ())))","('BoolOp', 'Or', 2)",validation_result,"warn_list = validation_result.get('warnings', []) or []"
.\pdf_ui.py,1114,warnings_list,"('BoolOp', 'Or', (('Call', ('Attr', 'validation_result', 'get'), (('Const', ""'warnings'""), ('List', ())), ()), ('List', ())))","('BoolOp', 'Or', 2)",validation_result,"warnings_list = validation_result.get('warnings', []) or []"
.\tests\test_main_pdf.py,72,active_company,"('BoolOp', 'Or', (('Call', ('Name', 'get_active_company'), (), ()), ('Dict', ())))","('BoolOp', 'Or', 2)",get_active_company,active_company = get_active_company() or {}
.\tools\test_main_pdf.py,72,active_company,"('BoolOp', 'Or', (('Call', ('Name', 'get_active_company'), (), ()), ('Dict', ())))","('BoolOp', 'Or', 2)",get_active_company,active_company = get_active_company() or {}
.\pdf_erstellen_komplett.py,184,company_info,"('BoolOp', 'Or', (('Call', ('Name', 'get_active_company'), (), ()), ('Dict', ())))","('BoolOp', 'Or', 2)",get_active_company,company_info = get_active_company() or {}
.\crm_pipeline_ui.py,534,avg_deal_value,"('BoolOp', 'Or', (('Const', '0'), ('Subscript', ('Call', ('Attr', 'cursor', 'fetchone'), (), ()), ('Const', '0'))))","('BoolOp', 'Or', 2)",cursor,avg_deal_value = cursor.fetchone()[0] or 0
.\crm_pipeline_ui.py,531,pipeline_value,"('BoolOp', 'Or', (('Const', '0'), ('Subscript', ('Call', ('Attr', 'cursor', 'fetchone'), (), ()), ('Const', '0'))))","('BoolOp', 'Or', 2)",cursor,pipeline_value = cursor.fetchone()[0] or 0
.\pdf_generator.py,694,footer_left,"('Call', ('Attr', ""' '"", 'join'), (('Name', 'name_parts'),), ())","('Call', 1, 0)",name_parts,footer_left = ' '.join(name_parts)
.\pdf_template_engine\placeholders.py,481,full_name,"('Call', ('Attr', ""' '"", 'join'), (('Name', 'name_parts'),), ())","('Call', 1, 0)",name_parts,"full_name = "" "".join(name_parts)"
.\pdf_widgets.py,273,base,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","ch,section_name","base = """".join(ch.lower() if (ch.isalnum() or ch in ""-_"") else ""-"" for ch in section_name.strip())"
.\admin_panel.py,1030,safe_filename,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","c,original_datasheet_filename_to_write","safe_filename = """".join(c if c.isalnum() or c in ('.', '-', '_') else '_' for c in original_datasheet_filename_to_write)"
.\admin_panel.py,1067,safe_filename,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","c,original_datasheet_filename_to_write","safe_filename = """".join(c if c.isalnum() or c in ('.', '-', '_') else '_' for c in original_datasheet_filename_to_write)"
.\database.py,1451,safe_filename_base,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","c,original_filename,os","safe_filename_base = """".join(c if c.isalnum() else ""_"" for c in os.path.splitext(original_filename)[0])"
.\database.py,1514,safe_filename_base,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","c,original_filename,os","safe_filename_base = """".join(c if c.isalnum() else ""_"" for c in os.path.splitext(original_filename)[0])"
.\admin_panel.py,562,safe_name,"('Call', ('Attr', ""''"", 'join'), (('Other', 'GeneratorExp'),), ())","('Call', 1, 0)","c,orig","safe_name = """".join(c if c.isalnum() or c in ('.','-','_') else '_' for c in orig)"
.\dev_tools\kakerlake_ultra_cleaner.py,145,body_src,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","end,lines,start","start=node.lineno; end=getattr(node,'end_lineno',start); body_src=""\n"".join(lines[start-1:end])"
.\mnt\data\kakerlake_ultra_cleaner.py,145,body_src,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","end,lines,start","start=node.lineno; end=getattr(node,'end_lineno',start); body_src=""\n"".join(lines[start-1:end])"
.\tools\kakerlake_ultra_cleaner.py,146,body_src,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","end,lines,start","start=node.lineno; end=getattr(node,'end_lineno',start); body_src=""\n"".join(lines[start-1:end])"
.\notwendig oder nicht\wichtig\repo_porter.py,323,ctx_after,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","after_idx,anchor_line,lines","ctx_after  = ""\n"".join(lines[anchor_line:after_idx])"
.\tools\repo_porter.py,323,ctx_after,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","after_idx,anchor_line,lines","ctx_after  = ""\n"".join(lines[anchor_line:after_idx])"
.\notwendig oder nicht\wichtig\repo_porter.py,322,ctx_before,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","anchor_line,before_idx,lines","ctx_before = ""\n"".join(lines[before_idx:anchor_line])"
.\tools\repo_porter.py,322,ctx_before,"('Call', ('Attr', ""'\\n'"", 'join'), (('Subscript', ('Name', 'lines'), ('Other', 'Slice')),), ())","('Call', 1, 0)","anchor_line,before_idx,lines","ctx_before = ""\n"".join(lines[before_idx:anchor_line])"
.\pdf_template_engine\placeholders.py,1308,ov_brand,"('Call', ('Attr', ""as_str(project_details.get('module_manufacturer') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","ov_brand = as_str(project_details.get(""module_manufacturer"") or """").strip()"
.\pdf_template_engine\placeholders.py,1538,ov_mod_brand,"('Call', ('Attr', ""as_str(project_details.get('module_manufacturer') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","ov_mod_brand = as_str(project_details.get(""module_manufacturer"") or """").strip()"
.\pdf_template_engine\placeholders.py,1233,alt_model,"('Call', ('Attr', ""as_str(project_details.get('module_model') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","alt_model = as_str(project_details.get(""module_model"") or """").strip()"
.\pdf_template_engine\placeholders.py,1249,mm_pd,"('Call', ('Attr', ""as_str(project_details.get('module_model') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","mm_pd = as_str(project_details.get(""module_model"") or """").strip()"
.\pdf_template_engine\placeholders.py,1412,mm_pd,"('Call', ('Attr', ""as_str(project_details.get('module_model') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","mm_pd = as_str(project_details.get(""module_model"") or """").strip()"
.\pdf_template_engine\placeholders.py,1541,ov_mod_model,"('Call', ('Attr', ""as_str(project_details.get('module_model') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","ov_mod_model = as_str(project_details.get(""module_model"") or """").strip()"
.\pdf_template_engine\placeholders.py,1311,ov_model,"('Call', ('Attr', ""as_str(project_details.get('module_model') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","ov_model = as_str(project_details.get(""module_model"") or """").strip()"
.\pdf_template_engine\placeholders.py,603,storage_model_name_pref,"('Call', ('Attr', ""as_str(project_details.get('selected_storage_name') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","storage_model_name_pref = as_str(project_details.get(""selected_storage_name"") or """").strip()"
.\pdf_template_engine\placeholders.py,1775,storage_name,"('Call', ('Attr', ""as_str(project_details.get('selected_storage_name') or '')"", 'strip'), (), ())","('Call', 0, 0)","as_str,project_details","storage_name = as_str(project_details.get(""selected_storage_name"") or """").strip()"
.\calculations.py,3095,no_storage_text_for_check_lc_again,"('Call', ('Attr', ""texts.get('no_storage_option_for_matrix', 'Ohne Speicher').strip()"", 'lower'), (), ())","('Call', 0, 0)",texts,no_storage_text_for_check_lc_again = (
.\calculations.py,2954,no_storage_text_normalized_lookup,"('Call', ('Attr', ""texts.get('no_storage_option_for_matrix', 'Ohne Speicher').strip()"", 'lower'), (), ())","('Call', 0, 0)",texts,no_storage_text_normalized_lookup = (
.\tests\test_page3_values.py,6,THIS,"('Call', ('Attr', 'Path(__file__)', 'resolve'), (), ())","('Call', 0, 0)","Path,__file__",THIS = Path(__file__).resolve()
.\tools\test_page3_values.py,6,THIS,"('Call', ('Attr', 'Path(__file__)', 'resolve'), (), ())","('Call', 0, 0)","Path,__file__",THIS = Path(__file__).resolve()
.\debug_page3_check.py,14,THIS_FILE,"('Call', ('Attr', 'Path(__file__)', 'resolve'), (), ())","('Call', 0, 0)","Path,__file__",THIS_FILE = Path(__file__).resolve()
.\notwendig oder nicht\wichtig\repo_porter.py,479,out_root,"('Call', ('Attr', 'Path(args.from_out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out_root = Path(args.from_out).resolve()
.\tools\repo_porter.py,479,out_root,"('Call', ('Attr', 'Path(args.from_out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out_root = Path(args.from_out).resolve()
.\notwendig oder nicht\wichtig\repo_porter_select.py,119,src,"('Call', ('Attr', 'Path(args.from_out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",src = Path(args.from_out).resolve()
.\tools\repo_porter_select.py,119,src,"('Call', ('Attr', 'Path(args.from_out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",src = Path(args.from_out).resolve()
.\notwendig oder nicht\wichtig\repo_porter_select.py,120,dst,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",dst = Path(args.out).resolve()
.\tools\repo_porter_select.py,120,dst,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",dst = Path(args.out).resolve()
.\notwendig oder nicht\wichtig\repo_to_json.py,260,out,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out = Path(args.out).resolve()
.\tools\repo_to_json.py,260,out,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out = Path(args.out).resolve()
.\notwendig oder nicht\wichtig\repo_porter.py,364,out_root,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out_root = Path(args.out).resolve()
.\tools\repo_porter.py,364,out_root,"('Call', ('Attr', 'Path(args.out)', 'resolve'), (), ())","('Call', 0, 0)","Path,args",out_root = Path(args.out).resolve()
.\pdf_erstellen_komplett.py,70,active_company_id,"('Call', ('Attr', 'active_company', 'get'), (('Const', ""'id'""),), ())","('Call', 1, 0)",active_company,"active_company_id = active_company.get(""id"")"
.\doc_output.py,1858,active_company_id_for_docs,"('Call', ('Attr', 'active_company', 'get'), (('Const', ""'id'""),), ())","('Call', 1, 0)",active_company,active_company_id_for_docs = active_company.get('id')
.\analysis.py,3804,aktueller_strompreis_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'aktueller_strompreis_fuer_hochrechnung_euro_kwh'""),), ())","('Call', 1, 0)",analysis_results,aktueller_strompreis_raw = analysis_results.get(
.\analysis.py,4358,elec_price_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'aktueller_strompreis_fuer_hochrechnung_euro_kwh'""),), ())","('Call', 1, 0)",analysis_results,elec_price_raw = analysis_results.get(
.\pdf_template_engine\placeholders.py,560,anlage_kwp,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'anlage_kwp'""),), ())","('Call', 1, 0)",analysis_results,"anlage_kwp = analysis_results.get(""anlage_kwp"")"
.\pdf_generator.py,1837,kwp,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'anlage_kwp'""),), ())","('Call', 1, 0)",analysis_results,kwp = analysis_results.get('anlage_kwp')
.\analysis.py,4454,annual_benefits_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'annual_benefits_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"annual_benefits_raw = analysis_results.get(""annual_benefits_sim"", [])"
.\pv_visuals.py,188,annual_benefits_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'annual_benefits_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"annual_benefits_raw = analysis_results.get('annual_benefits_sim', [])"
.\analysis.py,4254,benefits_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'annual_benefits_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"benefits_raw = analysis_results.get(""annual_benefits_sim"", [])"
.\analysis.py,4095,m_total_cons_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'monthly_consumption_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"m_total_cons_raw = analysis_results.get(""monthly_consumption_sim"", [])"
.\analysis.py,4356,m_total_cons_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'monthly_consumption_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"m_total_cons_raw = analysis_results.get(""monthly_consumption_sim"", [])"
.\analysis.py,2520,verbrauch_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'monthly_consumption_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"verbrauch_raw = analysis_results.get(""monthly_consumption_sim"", [])"
.\analysis.py,2226,production_data_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'monthly_productions_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"production_data_raw = analysis_results.get(""monthly_productions_sim"", [])"
.\analysis.py,2521,produktion_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'monthly_productions_sim'""), ('List', ())), ())","('Call', 2, 0)",analysis_results,"produktion_raw = analysis_results.get(""monthly_productions_sim"", [])"
.\analysis.py,4253,base_invest_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'total_investment_netto'""),), ())","('Call', 1, 0)",analysis_results,"base_invest_raw = analysis_results.get(""total_investment_netto"")"
.\analysis.py,3682,base_investment_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'total_investment_netto'""),), ())","('Call', 1, 0)",analysis_results,"base_investment_raw = analysis_results.get(""total_investment_netto"")"
.\analysis.py,4184,curr_invest_raw,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'total_investment_netto'""),), ())","('Call', 1, 0)",analysis_results,"curr_invest_raw = analysis_results.get(""total_investment_netto"")"
.\pdf_template_engine\placeholders.py,2059,netto,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'total_investment_netto'""),), ())","('Call', 1, 0)",analysis_results,"netto = analysis_results.get(""total_investment_netto"")"
.\pdf_template_engine\placeholders.py,2552,pv_total,"('Call', ('Attr', 'analysis_results', 'get'), (('Const', ""'total_investment_netto'""),), ())","('Call', 1, 0)",analysis_results,pv_total = analysis_results.get('total_investment_netto')
.\notwendig oder nicht\wichtig\repo_to_json.py,314,sp,"('Call', ('Attr', 'ap', 'add_subparsers'), (), (('dest', ('Const', ""'cmd'"")), ('required', ('Const', 'True'))))","('Call', 0, 2)",ap,"sp = ap.add_subparsers(dest=""cmd"", required=True)"
.\tools\repo_to_json.py,314,sp,"('Call', ('Attr', 'ap', 'add_subparsers'), (), (('dest', ('Const', ""'cmd'"")), ('required', ('Const', 'True'))))","('Call', 0, 2)",ap,"sp = ap.add_subparsers(dest=""cmd"", required=True)"
